type_ownership;Nome Edificio;Descrizione Edificio;Indirizzo;id_building;type_property;city
EDI;immobile 4CIMA;AREA ANTICO CIMITERO CENTRO STORICO;VIA M. CONSIVIERI;2233480;Proprietà;058023
EDI;immobile 4CIMI;CIMITERO - STR.DISC. EMPOLITANA SNC;STR.DISC. EMPOLITANA SNC;2233481;Proprietà;058023
EDI;immobile 4TEMP;TEMPIETTO DI SAN MICHELE;;2233485;Proprietà;058023
EDI;immobile 4VEGA;VESPASIANO - P.ZZA GARIBALDI SOTTO PIAZZA MAZZINI;P.ZZA GARIBALDI ;2233486;Proprietà;058023
EDI;immobile 5ACQD;RETE IDRICA/ACQUEDOTTO/OPERE IDRAULICHE;;2233487;Proprietà;058023
EDI;immobile 5FOGN;RETE FOGNARIA/OPERE SMALTIMENTO RIFIUTI;;2233490;Proprietà;058023
EDI;immobile 5RIFI;AREA PER RACCOLTA DIFFERENZIATA RIFIUTI URBANI;;2233491;Proprietà;058023
EDI;immobile 5STRD;OPERE DI VIABILITA'/STRADE/GIARDINI;;2233492;Proprietà;058023
EDI;immobile 7VIDS;IMPIANTO DI VIDEOSORVEGLIANZA - SISTEMA S.I.C.;;2233493;Proprietà;058023
TER;immobile 1CONT;AREA su cui insist.PREFABBRICATI (b.mobile)COM.LE di PROT.CIVILE;V.LE XXV APRILE;2233448;Proprietà;058023
TER;immobile 1EXMA;AREA EX-MATTATOIO, DIRITTO DI SUPERFICIE A IHG SPA: CLINICA;VIA DELLA STAZIONE;2233449;Proprietà;058023
TER;immobile 1PDZ;AREA P.D.Z. 167;LOC. PESCHIOLI;2233450;Proprietà;058023
TER;immobile 1TEAL;TERRENI CON COMUNE PER VARI DIRITTI SITI IN ALTRI COMUNI ;;2233451;Proprietà;058023
TER;immobile 1TECO;TERRENI CON DIR.DEL CONCEDENTE COOP. CASTELMADAMA I;LOC.SANT'AGOSTINO;2233452;Proprietà;058023
TER;immobile 1TEST;TERRENO IN LOC. STERPARO (USO DISCARICA);LOC. STERPARO;2233453;Proprietà;058023
TER;immobile 1TUTE;TERRENI PATRIMONIALI DISPONIBILI EVINTI DA VISURE UTE;;2233454;Proprietà;058023
