type_ownership;Nome Edificio;Descrizione Edificio;Indirizzo;address_secondary;Destinazione_uso;id_building;city
EDI;immobile 3601;PROPRIETA DEL DEMANIO - IL COMUNE NE HA SOLO LUSO -;GIOIA DEL COLLE  PIAZZA MARGHERITA DI SAVOIA 10;;;2688663;072021
EDI;immobile 3602;Fabbricato su tre piani piu interrato, con ascensore, in parziale ristrutturazione (al secondo piano) (Rif. tavola AB).;GIOIA DEL COLLE  VIA ARCIPRETE GATTA 29/37;;;2688662;072021
EDI;immobile 3605;"Fabbricato su due piani(Rif. tavola AG). La SCUOLA ""MAZZINI"" ha unentrata anche da via FLORA. 1°CIRCOLO DIDATTICO";GIOIA DEL COLLE  P.ZZA UMBERTO I 7;;;2688661;072021
EDI;immobile 3606;Fabbricato su due piani con Palestra. 2° Circolo Didattico (Rif. tavola AN).;GIOIA DEL COLLE  PIAZZA DALLA CHIESA 11;;;2688660;072021
EDI;immobile 3607;Fabbricato di due piani con ascensore più palestra e locale teatro interno, da accatastare (Rif. tavola AO).  - 2° Circolo Didattico;GIOIA DEL COLLE  VIA EVA/SNC;;;2688659;072021
EDI;immobile 3608;Scuola GESTITA dalla Provincia. Il Comune e proprietario del fabbricato, dato in uso comodato alla Provincia (Rif. tavola AY).;GIOIA DEL COLLE  VIA ROMA 2?;;;2688658;072021
EDI;immobile 3609;"(Rif. scheda AR) - Succursale in via VITTORIO EMANUELE ORLANDO (vedi scheda 1124). Presentato solo Tipo Mappale : Ente Urbano; manca al Cat. Fabbr";GIOIA DEL COLLE  VIA GIOVANNI XXIII 129;;;2688657;072021
EDI;immobile 3610;Fabbricato su due piani più parziale seminterrato, con palestra parzialmente da riaccatastare (Rif. scheda AS). Rendita riferita al vecchio accatastamento da aggiornare.;GIOIA DEL COLLE  P.ZZA UMBERTO I 18/20;;;2688656;072021
EDI;immobile 3611;Fabbricato su un unico piano, da accatastare (Rif. tavola AF).;GIOIA DEL COLLE  VIA SALVATOR ROSA/SNC;;;2688655;072021
EDI;immobile 3613;Fabbricato di UN piano 1° CIRCOLO DIDATTICO (Rif. tavole AH). Edificio a SUD rispetto quello del 2° Circolo Didattico (tav.AI).;GIOIA DEL COLLE  VIA ALDO MORO 2;;;2688654;072021
EDI;immobile 3626;Situati al piano seminterrato sotto la piazza (Rif. tavola AW).;GIOIA DEL COLLE  PIAZZA XX SETTEMBRE/SNC;;;2688653;072021
EDI;immobile 3627;Mappali dellEX Impianto sportivo : 5575 (vedi tavola BA). Il mappale 5574 sarà una futura strada. Il mappale 5573 NON è più proprietà del Comune. Di prossima DEMOLIZIONE.;GIOIA DEL COLLE  VIA DELLA FIERA SNC;;;2688652;072021
EDI;immobile 3629;Verificare lo stato dellesproprio dei terreni(mappali) per poi procedere allacatastamento (Rif. tavola BF).;GIOIA DEL COLLE  VIA PUTIGNANO - v.EINAUDI/SNC;;;2688651;072021
EDI;immobile 3630;Situato in un piazzale senza nome, a lato della via REGINA ELENA, detto piazzetta del Mercato (Rif. tavola BM).;GIOIA DEL COLLE  VIA REGINA ELENA/SNC;;;2688650;072021
EDI;immobile 3631;Superficie coperta di 870 mq. su un mappale di 947mq. complessivi (Rif. tavola AT).;GIOIA DEL COLLE  VIA ROSSINI 1;;;2688649;072021
EDI;immobile 3632;MACELLO o MATTATOIO sono lo stesso complesso industriale (Rif. tavola BH).;GIOIA DEL COLLE CONTRADA LAGOMAGNO  VIA E. CASTELLANETA/SNC;;;2688648;072021
EDI;immobile 3969;Fabbricato su cinque piani, con ascensore (Rif. tavola BT).;GIOIA DEL COLLE  VIA DANNUNZIO 72;;;2688647;072021
EDI;immobile 3974;PROGETTAZIONE INTERNA;LOCALITA GIOIA DEL COLLE SNC;;;2688645;072021
EDI;immobile 3975;(Rif. tavola AM) APPARTIENE AL 1° CIRCOLO DIDATTICO;GIOIA DEL COLLE  VIA CARLO SORIA 20;;;2688644;072021
EDI;immobile 3977;IMMOBILI VARI - INTERVENTI MANUTENTIVI;LOCALITA GIOIA DEL COLLE SNC;;;2688643;072021
EDI;immobile 4084;Campo di calcetto con fabbricato uso spogliatoio su un unico piano, da accatastare. Area dellImpianto Sportivo di 1.528 mq. complessivi di cui 48 (mapp. 5660) già intestati al Comune. Lesproprio riguarda il mappale 5652 di 284 mq.;GIOIA DEL COLLE  VIA ROMANO/SNC;;;2688639;072021
EDI;immobile 4086;Su unarea complessiva di 45.474 mq.;GIOIA DEL COLLE  VIA NOCI SNC;;;2688638;072021
EDI;immobile 4108;Fabbricato di tre piani, adiacente al Municipio (Rif. tavola AD). Da riaccatastare per cambio di destinazione duso da A/4 a B/4.   DEMANIALE IN USO AL COMUNE;GIOIA DEL COLLE  PIAZZA MARGHERITA DI SAVOIA 4;;;2688637;072021
EDI;immobile 4110;Fabbricato in parziale(piano secondo) ristrutturazione.(Rif. tavola AC);GIOIA DEL COLLE  CORSO VITTORIO EMANUELE 11;;;2688636;072021
EDI;immobile 4113;Al piano Terra del fabbricato della Biblioteca (in parte in ristrutturazione). Direttamente gestita da dipendenti comunali (Rif. tavola AV).;GIOIOA DEL COLLE VITTORIO EMANUELE CO 13/15;;;2688635;072021
EDI;immobile 4121;In USO GRATUITO ad associazioni, quali boy scout o altre (Rif. scheda BL). CONCESSO IN COMODATO DUSO GRATUITO A AGESCI GRUPPO GIOIA CON GC 174 DEL 28/09/2010;GIOIA DEL COLLE  VIA EINAUDI snc;;;2688634;072021
EDI;immobile 4122;Impianto Sportivo da accatastare. Molti mappali espropriati da volturare al Comune (Rif. tavole BE e BF);GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688633;072021
EDI;immobile 4123;Fabbricato DA ACCATASTARE (Rif. tavola BE).;GIOIA DEL COLLE  VIA EINAUDI/SNC;;;2688632;072021
EDI;immobile 4124;"Fabbricato B (Rif. scheda AU) - Presentato solo Tipo Mappale : Ente Urbano; manca al Catasto Fabbricati : fare DOCFA.";GIOIA DEL COLLE  V. VITT. EMANUELE ORLANDO/SNC;;;2688631;072021
EDI;immobile 4125;Seminterrato.;GIOIA DEL COLLE  VIA REGINA ELENA/SNC;;;2688630;072021
EDI;immobile 4126;FABBRICATO DA ACCATASTARE (Rif. tavola BB).;GIOIA DEL COLLE  VIA PASTORE/SNC;;;2688629;072021
EDI;immobile 4134;Locali, usati come uffici e ambulatori, connesso ai terreni destinati a CANILE SANITARIO (Rif. tavola BG). Non è gestito direttamente dal Comune, ma la gestione è stata affidata ad una ditta esterna.;GIOIA DEL COLLE  VIA VECCHIA MATERA km. 1 4;;;2688628;072021
EDI;immobile 4151;"Parte dei locali in uso comodato fino a novembre 2016 alla LUM - LIBERA UNIVERSITÀ MEDITERRANEA ""JEAN MONNET"" con sede in Strada Statale 100, Km 18 - 70010 Casamassima (Bari) - Cinque subalterni di propr. comunale, NON tutto il fabbricato -";GIOIA DEL COLLE  VIA CASSANO Paolo 7;;;2688627;072021
EDI;immobile 4206;(Rif. tavola AL).Fabbricato parzialmente su due piani, più interrato di servizio. Secondo Circolo Didattico. Su unarea complessiva di 3.143 mq.;GIOIA DEL COLLE  VIA AMENDOLA 15;;;2688626;072021
EDI;immobile 5105;AREA LAVAGGIO AMIU - INT.2008;LOCALITA GIOIA DEL COLLE SNC;;;2688625;072021
EDI;immobile 5124;N.C.;LOCALITA GIOIA DEL COLLE SNC;;;2688624;072021
EDI;immobile 5141;Fabbricato di UN piano. 2° CIRCOLO DIDATTICO (Rif. tavole AI). Edificio a NORD rispetto quello del 1° Circolo Didattico (tav.AH).;GIOIA DEL COLLE  VIA ALDO MORO/SNC;;;2688622;072021
