type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;city;type_property
EDI;IT061022000022;immobile PIF-1;LICEO CLASSICO;CORSO GIANNONE;061022;Proprietà
EDI;IT061022000023;immobile PIF-2;SCUOLA ELE. MATERNA;CORSO GIANNONE;061022;Proprietà
EDI;IT061022000024;immobile PIF-3;SCUOLA ELE. MATERNA;VIA ROMA ;061022;Proprietà
EDI;IT061022000025;immobile PIF-4;SCUOLA  ELEMENTARE;VIA S.VITO-ERCOLE;061022;Proprietà
EDI;IT061022000026;immobile PIF-5;SCUOLA  ELEMENTARE;VIA CHIANALE-PUCCIANIELLO;061022;Proprietà
EDI;IT061022000027;immobile PIF-6;SCUOLA  ELEMENTARE;VIA LANDI BRIANO;061022;Proprietà
EDI;IT061022000028;immobile PIF-7;SCUOLA  ELEMENTARE;VIA TIFATINA- S.BARBARA;061022;Proprietà
EDI;IT061022000029;immobile PIF-8;SCUOLA  ELEMENTARE;VIALE LINCOLN -  II TRATTO;061022;Proprietà
EDI;IT061022000030;immobile PIF-9;SCUOLA  ELEMENTARE;VIA GALATINA S.CLEMENTE;061022;Proprietà
EDI;IT061022000031;immobile PIF-10;SCUOLA  ELEMENTARE;VIA VACCHERIA-S.LEUCIO;061022;Proprietà
EDI;IT061022000032;immobile PIF-11;SCUOLA MATERNA;CORSO GIANNONE;061022;Proprietà
EDI;IT061022000033;immobile PIF-12;SCUOLA MATERNA;VIA BENEVENTO;061022;Proprietà
EDI;IT061022000034;immobile PIF-13;SCUOLA MATERNA;PIAZZA CAVOUR;061022;Proprietà
EDI;IT061022000035;immobile PF-14;SCUOLA MEDIA;VIA PIGNA TUORO;061022;Proprietà
EDI;IT061022000036;immobile PIF-15;SCUOLA MATERNA;PARCO CERASOLE;061022;Proprietà
EDI;IT061022000037;immobile PIF-16;ASILO NIDO;VIA CILEA;061022;Proprietà
EDI;IT061022000038;immobile PIF-17;SCUOLA MATERNA;VIA AMENDOLA;061022;Proprietà
EDI;IT061022000039;immobile PIF-18;SCUOLA MATERNA;VIA GIARDINI REALI-S.LEUCIO;061022;Proprietà
EDI;IT061022000040;immobile PIF-19;SCUOLA MATERNA;VIALE BENEDUCE;061022;Proprietà
EDI;IT061022000041;immobile PIF-20;SCUOLA  ELEMENTARE;VIA KENNEDY;061022;Proprietà
EDI;IT061022000042;immobile PIF-21;SCUOLA  ELEMENTARE;VIALE CAPPIELLO;061022;Proprietà
EDI;IT061022000043;immobile PIF-22;SCUOLA  ELEMENTARE;PIAZZA CAVOUR;061022;Proprietà
EDI;IT061022000044;immobile PIF-23;SCUOLA  ELEMENTARE;RIONE VANVITELLI;061022;Proprietà
EDI;IT061022000045;immobile PIF-24;SCUOLA  ELEMENTARE;VIA RISORGIMENTO -CASOLA;061022;Proprietà
EDI;IT061022000046;immobile PIF-25;SCUOLA  ELEMENTARE;VIA GIAQUINTO CASOLLA;061022;Proprietà
EDI;IT061022000047;immobile PF-26;SCUOLA MATERNA;"VIA DE CILLIS ""BOTTEGHELLE""";061022;Proprietà
EDI;IT061022000048;immobile PIF-27;SCUOLA MATERNA;VIA CIRCUMVALLAZIONE ERCOLE;061022;Proprietà
EDI;IT061022000049;immobile PIF-28;ASILO NIDO;VIALE CAPPIELLO (CE);061022;Proprietà
EDI;IT061022000050;immobile PIF-29;SCUOLA MEDIA GIANNONE;CORSO GIANNONE;061022;Proprietà
EDI;IT061022000051;immobile PIF-30;SCUOLA MEDIA ;VIA TRENTO;061022;Proprietà
EDI;IT061022000052;immobile PIF-31;SCUOLA MEDIA ;VIA RUGGIERO;061022;Proprietà
EDI;IT061022000053;immobile PIF-32;SCUOLA MEDIA ;VIALE MEDAGLIE D'ORO (CE);061022;Proprietà
EDI;IT061022000054;immobile PIF-33;SCUOLA MEDIA ;SAN LEUCIO;061022;Proprietà
EDI;IT061022000055;immobile PIF-34;SCUOLA MEDIA ;VIA RISORGIMENTO CASOLA;061022;Proprietà
EDI;IT061022000056;immobile PIF-35;ISTITUTO MAGISTRALE;VIA DE GASPERI;061022;Proprietà
EDI;IT061022000057;immobile PIF-36;ISTITUTO D'ARTE;SAN LEUCIO;061022;Proprietà
EDI;IT061022000058;immobile PIF-37;ISTITUTO PROFESSIONALE;VIA SETTEMBRINI;061022;Proprietà
EDI;IT061022000059;immobile PIF-38;ISTITUTO PROF.S.I.A.;VIA AMENDOLA;061022;Proprietà
EDI;IT061022000060;immobile PIF-39;SCUOLA MATERNA;VIA BENEVENTO;061022;Proprietà
EDI;IT061022000061;immobile PIF-40;SCUOLA  ELEMENTARE;P.ZA MADONNA DELLE GRAZIE;061022;Proprietà
EDI;IT061022000062;immobile PIF-41;SCUOLA MEDIA UNGARETTI;VIA RUTA CASOLLA;061022;Proprietà
EDI;IT061022000063;immobile PIF1-1;EX UFFICI PRETURA;Via Mazzini;061022;Proprietà
EDI;IT061022000064;immobile PIF1-2;PALAZZO VECCHIO;P.zza Vanvitelli ;061022;Proprietà
EDI;IT061022000065;immobile PIF1-3;TEATRO COMUNALE;Via Mazzini;061022;Proprietà
EDI;IT061022000066;immobile PIF1-4;PALAZZO MUNICIPALE;P.zza Vanvitelli ;061022;Proprietà
EDI;IT061022000067;immobile PIF1-5;EX ECA;Via Roma;061022;Proprietà
EDI;IT061022000068;immobile PIF1-6;CANILE MUNICIPALE;Ercole;061022;Proprietà
EDI;IT061022000069;immobile PIF1-7;EX BIBLIOTECA COMUNALE;Via Roma;061022;Proprietà
EDI;IT061022000070;immobile PIF1-8;IMMOBILE + GAZEBO;Via Della Ratta - Casola;061022;Proprietà
EDI;IT061022000071;immobile PIF1-9;BIBLIOTECA COMUNALE;Via Laviano;061022;Proprietà
EDI;IT061022000072;immobile PIF1-10;UNITA' ABITATIVA ;Via Assunta - Falciano;061022;Proprietà
EDI;IT061022000073;immobile PIF1-11;UNITA' ABITATIVA;Via S. Antonio;061022;Proprietà
EDI;IT061022000074;immobile PIF1-12;UNITA' ABITATIVA;Vaccheria - Il Bozzolo;061022;Proprietà
EDI;IT061022000075;immobile PIF1-13;IMMOBILE CASERTAVECCHIA;P.zza Vescov.nn.da6 a9;061022;Proprietà
EDI;IT061022000076;immobile PIF1-14;FABBRICATO;Via Leonardo;061022;Proprietà
EDI;IT061022000077;immobile PIF1-15;FABBRICATO;Via S. Carlo;061022;Proprietà
EDI;IT061022000078;immobile PIF1-16;EX CINEMATOGRAFO S.LEUCIO;P.zza Atrio ;061022;Proprietà
EDI;IT061022000079;immobile PIF1-17;TERRANEO S.LEUCIO;P.zza Atrio ;061022;Proprietà
EDI;IT061022000080;immobile PIF1-18;EX EDUCANDATO S. ANTIDA;Via S. Antida;061022;Proprietà
EDI;IT061022000081;immobile PIF1-19;EX ASILO S. GIUSEPPE;Via Mazzini;061022;Proprietà
EDI;IT061022000082;immobile PIF1-20;MERCATO COPERTO+PARCHEG.;p.zza Matteotti;061022;Proprietà
EDI;IT061022000083;immobile PIF1-21;MENDICICOMIO S. LUCIA;Via Giulia Centurano;061022;Proprietà
EDI;IT061022000084;immobile PIF1-22;EX CASERMA POLLIO;Via Vittorio Veneto;061022;Proprietà
EDI;IT061022000085;immobile PIF1-23;EX CASERMA SACCHI ;Via S. Gennaro Falciano;061022;Proprietà
EDI;IT061022000086;immobile PIF1-24;IMMOBILE A.F.C.A.M.;Via Vescovo Natale;061022;Proprietà
EDI;IT061022000087;immobile PIF1-25;LAVATOI  PUBBLICO;P.zza Madonna delle Grazie;061022;Proprietà
EDI;IT061022000088;immobile PIF1-26;POZZO;Via Casino Vecchio;061022;Proprietà
EDI;IT061022000089;immobile PIF1-27;FABBRICATO RURALI;Belvedere S.Leucio;061022;Proprietà
EDI;IT061022000090;immobile PIF1-28;CASA DEL TESSITORE;Via Giardini Reali;061022;Proprietà
EDI;IT061022000091;immobile PIF1-29;LAVATOI;A est Via Planelli;061022;Proprietà
EDI;IT061022000092;immobile PIF1-30;IMMOBILE (VILLA);Via Petrarelle 7;061022;Proprietà
EDI;IT061022000093;immobile PIF1-31;IMMOBILE (VILLA);Via Petrarelle ;061022;Proprietà
EDI;IT061022000094;immobile PIF1-32;PARCHEGGIO;P.zza IV Novembre;061022;Proprietà
EDI;IT061022000095;immobile PIF1-33;CHIESETTA S.MARIA MACERATA;Via Appia Antica;061022;Proprietà
EDI;IT061022000096;immobile PIF1-34;PARCHEGGIO;P.zza Carlo III;061022;Proprietà
EDI;IT061022000097;immobile PIF1-35;MANSARDA;Via Ragazzi del 99;061022;Proprietà
EDI;IT061022000098;immobile PIF1-36;LOCALI TERRANEI;Via Degli Oleandri,2;061022;Proprietà
EDI;IT061022000099;immobile PIF1-37;AMPLIAMENTO BALCONE;Via Croce,30;061022;Proprietà
EDI;IT061022000100;immobile PIF1-38;TETTOIA;Via Salvatores - Puccianiello;061022;Proprietà
EDI;IT061022000101;immobile PIF1-39;TETTOIA ;Via Acquaviva,40;061022;Proprietà
EDI;IT061022000102;immobile PIF1-40;LOCALE;Via A. Fusco,12 Casolla;061022;Proprietà
EDI;IT061022000103;immobile PIF1-41;LOCALE SEMINTERRATO;Via Sardegna,24 Aldifreda;061022;Proprietà
EDI;IT061022000104;immobile PIF1-42;PREFABBRICATO;Località Gradilli;061022;Proprietà
EDI;IT061022000105;immobile PIF1-43;BOX - DEPOSITO;Via Galatina,19 S. Clemente;061022;Proprietà
EDI;IT061022000106;immobile PIF1-44;MANUFATTI x BOX AUTO;Via Galatina -  S. Clemente;061022;Proprietà
EDI;IT061022000107;immobile PIF1-45;IMMOBILE;Via Appia Antica(Lo Uttaro);061022;Proprietà
EDI;IT061022000108;immobile PIF1-46;IMMOBILE;V.lla Salvatores;061022;Proprietà
EDI;IT061022000109;immobile PIF1-47;IMMOBILE;Via Camusso - Ercole;061022;Proprietà
EDI;IT061022000110;immobile PIF1-48;IMMOBILI;Via Giaquinto Casolla;061022;Proprietà
EDI;IT061022000111;immobile PIF1-49;IMMOBILE;Via Marconi ;061022;Proprietà
EDI;IT061022000112;immobile PIF1-50;IMMOBILE;Via Amalfi;061022;Proprietà
EDI;IT061022000113;immobile PIF1-51;IMMOBILE;Via Roma 50;061022;Proprietà
EDI;IT061022000194;abitazione;P.CO PRIMAVERA FABB. A/1;Via Pigna - Tuoro;061022;Proprietà
EDI;IT061022000195;abitazione;P.CO PRIMAVERA FABB.B 2;Via Pigna - Tuoro;061022;Proprietà
EDI;IT061022000196;abitazione;"FABBRICATO ""A""-""B""";Via Dietro Corte S.Clemente;061022;Proprietà
