type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;id_building;type_property;city
EDI;IT054009000007;LAVATOIO;TERRENO E FABBRICATO ;Via Cavour Petrignano del Lago;2233432;Proprietà;054009
EDI;IT054009000008;LAVATOIO;TERRENO E FABBRICATO ;Via della Vittoria  Petrignano del Lago;2233433;Proprietà;054009
EDI;IT054009000009;EX-CIRCOLO;TERRENO E FABBRICATO ;Via della Vittoria Petrignano del Lago;2233434;Proprietà;054009
EDI;IT054009000010;CIRCOLO (EX-ELEMENTARI);TERRENO E FABBRICATO ;Via Cavour   Petrignano del Lago;2233435;Proprietà;054009
EDI;IT054009000017;CIMITERO;TERRENO E FABBRICATO LA PARTICELLA NON COMPRENDE TUTTO IL CIMITERO E PART. LIMITROFE NON DI PROPRIETA  (NEANCHE AREA PARCHEGGIO);Loc. Giorgi    Petrignano del Lago;2233442;Proprietà;054009
EDI;IT054009000019;CIMITERO  ;TERRENO E FABBRICATO PORZIONE DI PARCHEGGIO NON DI PROPRIETA ;Piana;2233444;Proprietà;054009
EDI;IT054009000020;SCUOLA PER L'INFANZIA;TERRENO E FABBRICATO ;Piana;2233445;Proprietà;054009
EDI;IT054009000021;CIMITERO;TERRENO E FABBRICATO ;Pozzuolo;2233446;Proprietà;054009
EDI;IT054009000022;DEPURATORE;TERRENO ;Pozzuolo;2233447;Proprietà;054009
EDI;IT054009000024;MONUMENTO AI CADUTI E AREA VERDE;TERRENO ;Via della Libertà                          Piana;2233449;Proprietà;054009
EDI;IT054009000025;PARCHEGGIO;TERRENO ;Via Paganico                             Piana ;2233450;Proprietà;054009
EDI;IT054009000026;BANCHINA STRADALE LUNGO S.R.71;TERRENO ;S.R.71 (in prossimità curva aeroporto)         Castiglione del Lago;2233451;Proprietà;054009
EDI;IT054009000028;SCALINATA ED EDIFICIO BAGNI PUBBLICI;TERRENO E FABBRICATO ULTIMO TRATTO DI SCALINATA SU PARTICELLA NON DI PROPRIETA ;Via G. Galeotti                  Pozzuolo;2233453;Proprietà;054009
EDI;IT054009000029;CAMPO DELLA FIERA;TERRENO E FABBRICATO ;Via G. Galeotti                       Pozzuolo;2233454;Proprietà;054009
EDI;IT054009000032;EX-FONTI;FABBRICATO ;Via delle Fonti Vecchie                   Pozzuolo;2233457;Proprietà;054009
EDI;IT054009000033;EX-ELEMENTARI (CASA ALBERGO);TERRENO E FABBRICATO ;Via della Torre                     Pozzuolo;2233458;Proprietà;054009
EDI;IT054009000034;MONUMENTO AI CADUTI E GIARDINI PUBBLICI;TERRENO ;Piazza San Pietro Pozzuolo;2233459;Proprietà;054009
EDI;IT054009000035;SCUOLA;TERRENO E FABBRICATO  PRIMARIA E SECONDARIA DI I°GRADO 'FRANCO RASETTI', SCUOLA DELL'INFANZIA 'ARCOBALENO';Viale Milano                           Pozzuolo;2233460;Proprietà;054009
EDI;IT054009000036;CAMPO SPORTIVO                            'LEONARDO GIANNINI';TERRENO ;Viale Milano                               Pozzuolo;2233461;Proprietà;054009
EDI;IT054009000037;EDIFICIO RESIDENZIALE E PERTINENZA;TERRENO E FABBRICATO PROPRIETARIO SOLO DELL AREA;Viale Milano                            Pozzuolo;2233462;Proprietà;054009
EDI;IT054009000038;CABINA ELETTRICA;FABBRICATO ;Via Rasetti         Pozzuolo;2233463;Proprietà;054009
EDI;IT054009000042;CAPANNE IN MURATURA ;FABBRICATI IN STATO DI SEMI ABBANDONO E AREE DI PERTINENZA DI PROPRIETA  PRIVATA;Loc. Scopeti                          Pozzuolo;2233467;Proprietà;054009
EDI;IT054009000045;INCLUDE AREA TIRO A VOLO;TERRENO E FABBRICATI ;Loc. Scopeti                       Pozzuolo;2233470;Proprietà;054009
EDI;IT054009000054;EDIFICIO RESIDENZIALE E PERTINENZA;TERRENO E FABBRICATI PROPRIETARIO SOLO DELL AREA;Via Fratelli Rosselli Castiglione del Lago;2233479;Proprietà;054009
EDI;IT054009000055;EDIFICIO RESIDENZIALE E PERTINENZA;TERRENO E FABBRICATI PROPRIETARIO SOLO DELL AREA;Via Fratelli Rosselli Castiglione del Lago;2233480;Proprietà;054009
EDI;IT054009000056;EDIFICIO RESIDENZIALE E PERTINENZA;TERRENO E FABBRICATI PROPRIETARIO SOLO DELL AREA;Via Fratelli Rosselli Castiglione del Lago;2233481;Proprietà;054009
EDI;IT054009000063;IPSIA E TRATTO DI VIA DEL GIUNCO;TERRENO E FABBRICATO ;Via del Giunco Castiglione del Lago;2233488;Proprietà;054009
EDI;IT054009000065;POLO SCOLASTICO E SCUOLA DI MUSICA;TERRENO E FABBRICATO ;Via Buozzi  Via Carducci Castiglione del Lago;2233490;Proprietà;054009
EDI;IT054009000067;EX AEROPORTO ELEUTERI;TERRENO E FABBRICATI ;Via Firenze Castiglione del Lago;2233492;Proprietà;054009
EDI;IT054009000068;EX AEROPORTO ELEUTERI; C E  UNA PARTICELLA INTERNA  A PROPRIETA  COMUNALE DI PROPRIETA  DEL DEMANIO;Via Firenze Castiglione del Lago;2233493;Proprietà;054009
EDI;IT054009000069;INGRESSO EX AEROPORTO E AREA TRA EX AEROPORTO E QUARTIERE 'PRATI';TERRENO E FABBRICATO ;Via Firenze Castiglione del Lago;2233494;Proprietà;054009
EDI;IT054009000070;MURA CENTRO STORICO E ROCCA MEDIEVALE;FABBRICATO ;Centro Storico di Castiglione del Lago;2233495;Proprietà;054009
EDI;IT054009000071;INTERNO ROCCA MEDIEVALE;TERRENO ;Centro Storico di Castiglione del Lago;2233496;Proprietà;054009
EDI;IT054009000072;PALAZZO DELLA CORGNA;TERRENO E FABBRICATO ;Centro Storico di Castiglione del Lago;2233497;Proprietà;054009
EDI;IT054009000073;PIAZZA GRAMSCI;TERRENO  ;Centro Storico di Castiglione del Lago;2233498;Proprietà;054009
EDI;IT054009000074;OSPEDALE;TERRENO E FABBRICATO ;Centro Storico di Castiglione del Lago;2233499;Proprietà;054009
EDI;IT054009000075;SEDE POLIZIA MUNICIPALE E APT;FABBRICATO ;Piazza Mazzini Castiglione del Lago;2233500;Proprietà;054009
EDI;IT054009000076;TORRE DELL'OROLOGIO;FABBRICATO ;Piazza Mazzini Castiglione del Lago;2233501;Proprietà;054009
EDI;IT054009000077;CINEMA C. CAPORALI E PIAZZETTA SAN DOMENICO;TERRENO E FABBRICATO PARTICELLA 118 CORRISPONDE A FABBRICATO IN REALTA  DEMOLITO;Piazzetta San Domenico Castiglione del Lago;2233502;Proprietà;054009
EDI;IT054009000078;EDIFICIO EX-ELEMENTARI;TERRENO E FABBRICATO ;Via del Forte Castiglione del Lago;2233503;Proprietà;054009
